employee_id,current_skill
1,Salesforce
1,CRM Tools
2,AWS
2,Python
2,Research Methods
2,Statistics
3,Python
3,AWS
3,Kubernetes
3,Docker
3,Excel
4,Java
4,System Design
5,Java
5,Python
5,System Design
6,Java
6,Python
6,System Design
6,AWS
6,Kubernetes
6,Docker
7,Excel
7,Negotiation
7,Communication
8,Excel
8,Salesforce
8,Negotiation
8,Communication
8,CRM Tools
9,MLOps
9,Python
9,Machine Learning
9,AWS
9,PyTorch
9,Statistics
9,Docker
9,Communication
10,Excel
10,Data Visualization
10,Tableau
10,SQL
10,Statistics
11,Excel
11,Workday
11,Conflict Resolution
11,HR Compliance
11,Communication
12,MLOps
12,Python
12,Machine Learning
12,AWS
12,Statistics
13,Excel
13,Negotiation
13,Communication
13,CRM Tools
14,Java
14,Python
14,System Design
14,AWS
14,Docker
15,MLOps
15,CI/CD
15,AWS
15,Kubernetes
15,Cloud
16,Excel
16,Statistics
17,MLOps
17,Machine Learning
17,AWS
17,PyTorch
17,Statistics
17,Docker
18,Data Visualization
18,Tableau
18,SQL
18,Statistics
19,Excel
19,Data Visualization
19,Tableau
19,SQL
19,Statistics
20,Excel
20,Salesforce
20,Negotiation
20,CRM Tools
21,Excel
21,Salesforce
21,Communication
22,Java
22,System Design
22,AWS
22,Kubernetes
22,Docker
23,Excel
23,Data Visualization
23,Statistics
24,MLOps
24,AWS
24,Docker
25,MLOps
25,CI/CD
25,AWS
25,Kubernetes
25,Docker
26,MLOps
26,Python
26,Machine Learning
26,PyTorch
26,Statistics
26,Docker
28,Excel
28,Negotiation
28,Communication
28,CRM Tools
29,AWS
29,Research Methods
29,Statistics
30,Excel
30,Salesforce
30,Negotiation
30,Communication
30,CRM Tools
31,Tableau
31,SQL
31,Statistics
32,Excel
32,Salesforce
32,Negotiation
32,Communication
32,CRM Tools
33,Excel
33,Workday
33,Conflict Resolution
33,HR Compliance
33,Communication
34,Python
34,Machine Learning
34,AWS
34,Docker
35,Excel
35,Workday
35,Conflict Resolution
35,HR Compliance
35,Communication
36,Salesforce
36,CRM Tools
37,Java
37,Python
37,Kubernetes
37,Docker
38,Python
38,System Design
38,AWS
38,Kubernetes
38,Docker
39,Excel
39,Data Visualization
39,Tableau
40,Excel
40,Workday
40,Conflict Resolution
40,HR Compliance
40,Communication
41,Excel
41,Salesforce
41,Negotiation
41,Communication
41,CRM Tools
42,Excel
42,Workday
42,Conflict Resolution
42,Communication
43,Excel
43,Communication
43,CRM Tools
44,AWS
44,Python
44,Research Methods
44,Statistics
45,AWS
45,Python
45,Statistics
46,MLOps
46,Docker
47,Excel
47,Data Visualization
47,Tableau
47,Statistics
48,Excel
48,Salesforce
48,Negotiation
48,Communication
48,CRM Tools
49,Excel
49,Data Visualization
49,Tableau
49,SQL
49,Statistics
50,Machine Learning
50,AWS
50,PyTorch
50,Docker
51,Excel
51,Workday
51,Conflict Resolution
51,HR Compliance
51,Communication
52,Python
52,Machine Learning
52,AWS
52,Statistics
52,Excel
53,Python
53,Statistics
53,Docker
53,Excel
54,MLOps
54,Python
54,Machine Learning
54,AWS
54,PyTorch
54,Statistics
55,Java
55,Python
55,AWS
55,Kubernetes
55,Docker
56,MLOps
56,Machine Learning
56,AWS
56,Docker
57,MLOps
57,Python
57,Machine Learning
57,PyTorch
57,Statistics
57,Docker
58,Python
58,Research Methods
58,Statistics
59,System Design
59,Docker
60,Excel
60,Workday
60,Conflict Resolution
60,HR Compliance
60,Communication
61,Excel
61,Data Visualization
61,Statistics
62,Python
62,AWS
62,Statistics
62,Docker
62,Excel
63,MLOps
63,CI/CD
63,AWS
63,Kubernetes
63,Cloud
63,Docker
63,Excel
64,Excel
64,Data Visualization
64,Tableau
64,Statistics
65,MLOps
65,PyTorch
65,Docker
66,Excel
66,Salesforce
66,Negotiation
66,Communication
66,CRM Tools
67,MLOps
67,Python
67,Machine Learning
67,AWS
67,Statistics
67,Docker
68,MLOps
68,Kubernetes
68,Cloud
68,Terraform
69,Salesforce
69,Negotiation
69,Communication
70,AWS
70,Communication
71,AWS
71,Python
71,Research Methods
71,Statistics
72,Excel
72,Salesforce
72,Negotiation
72,Communication
72,CRM Tools
73,Excel
73,Data Visualization
73,Tableau
73,SQL
73,Statistics
74,Excel
74,Data Visualization
74,Tableau
75,AWS
75,Research Methods
75,Statistics
76,MLOps
76,CI/CD
76,AWS
76,Terraform
76,Docker
77,Excel
77,Data Visualization
77,Tableau
77,SQL
77,Statistics
78,Excel
78,Workday
78,Conflict Resolution
78,HR Compliance
78,Communication
79,Java
79,Python
79,System Design
79,AWS
79,Kubernetes
79,Docker
79,Excel
80,AWS
81,Tableau
81,SQL
81,Statistics
82,Excel
82,Workday
82,Conflict Resolution
83,AWS
83,Kubernetes
83,Cloud
83,Terraform
84,Excel
84,Salesforce
84,Negotiation
84,CRM Tools
85,Excel
85,Data Visualization
85,Tableau
85,SQL
85,Statistics
87,Excel
87,Workday
87,Conflict Resolution
87,HR Compliance
88,Tableau
88,Statistics
89,Excel
89,Salesforce
89,Negotiation
89,Communication
89,CRM Tools
90,AWS
90,Python
90,Research Methods
90,Statistics
90,Excel
91,Excel
91,Workday
91,Conflict Resolution
91,HR Compliance
91,Communication
92,Excel
92,Conflict Resolution
92,HR Compliance
93,Excel
94,AWS
94,Python
94,Research Methods
94,Statistics
95,Data Visualization
95,Statistics
95,Communication
96,Data Visualization
96,SQL
97,Excel
97,Salesforce
97,Negotiation
97,Communication
98,MLOps
98,Python
98,Machine Learning
98,AWS
98,PyTorch
98,Statistics
99,Excel
99,Data Visualization
99,Tableau
99,SQL
99,Statistics
100,MLOps
100,Python
100,AWS
100,PyTorch
101,Python
101,Statistics
102,Excel
102,Data Visualization
102,SQL
102,Statistics
103,Excel
103,Workday
103,HR Compliance
103,Communication
104,Java
104,System Design
104,AWS
104,Kubernetes
105,Excel
105,Salesforce
105,Negotiation
105,Communication
105,CRM Tools
106,Excel
106,Workday
106,Conflict Resolution
107,Java
107,System Design
107,AWS
107,Docker
108,MLOps
108,CI/CD
108,AWS
108,Kubernetes
108,Cloud
108,Terraform
109,Excel
109,Workday
109,Conflict Resolution
109,HR Compliance
109,Communication
110,Communication
111,AWS
111,Python
111,Statistics
112,MLOps
112,Machine Learning
112,AWS
112,PyTorch
112,Statistics
112,Docker
113,MLOps
113,Python
113,Machine Learning
113,AWS
113,PyTorch
113,Statistics
113,Docker
114,Java
114,Python
114,System Design
114,AWS
114,Docker
115,Excel
115,Data Visualization
115,Tableau
115,SQL
116,Excel
116,Salesforce
116,Negotiation
116,Communication
116,CRM Tools
117,Workday
117,Conflict Resolution
117,HR Compliance
117,Communication
118,Python
118,Machine Learning
118,AWS
118,PyTorch
118,Statistics
118,Docker
119,MLOps
119,Python
119,Machine Learning
119,AWS
119,PyTorch
119,Statistics
119,Docker
120,Excel
120,Conflict Resolution
120,HR Compliance
121,Excel
121,Workday
121,Conflict Resolution
121,HR Compliance
121,Communication
122,Excel
122,Workday
122,Conflict Resolution
122,HR Compliance
122,Communication
123,Kubernetes
123,Terraform
123,Docker
123,Communication
124,Excel
124,Workday
124,Conflict Resolution
124,Communication
125,AWS
125,Python
125,Research Methods
125,Statistics
126,MLOps
126,Python
126,Machine Learning
126,AWS
126,PyTorch
126,Statistics
126,Docker
126,Excel
127,MLOps
127,Python
127,AWS
127,PyTorch
127,Statistics
127,Docker
128,Python
128,Kubernetes
128,Docker
128,Communication
129,Excel
129,Workday
129,Conflict Resolution
129,Communication
130,Excel
130,Negotiation
130,Communication
131,Excel
131,Salesforce
131,Negotiation
131,Communication
131,CRM Tools
132,AWS
132,PyTorch
133,AWS
133,Python
133,Research Methods
133,Statistics
134,Excel
134,Communication
134,CRM Tools
135,Excel
135,Data Visualization
135,Tableau
135,Statistics
136,Java
136,Python
136,System Design
136,AWS
136,Kubernetes
136,Docker
137,MLOps
137,Python
137,PyTorch
137,Statistics
137,Docker
138,Excel
138,Data Visualization
138,Tableau
138,SQL
139,Java
139,Python
139,System Design
139,AWS
140,SQL
140,Statistics
141,Excel
141,Workday
141,HR Compliance
141,Communication
142,Java
142,Python
142,AWS
142,Kubernetes
142,Docker
143,Excel
143,Communication
144,Python
144,Research Methods
145,MLOps
145,CI/CD
145,AWS
145,Kubernetes
145,Cloud
145,Terraform
145,Docker
146,AWS
146,Python
146,Research Methods
147,MLOps
147,CI/CD
147,AWS
147,Kubernetes
147,Cloud
147,Terraform
147,Docker
147,Communication
148,Excel
148,Conflict Resolution
148,HR Compliance
148,Communication
149,Excel
149,Salesforce
149,Communication
149,CRM Tools
150,Excel
150,Salesforce
150,Negotiation
150,CRM Tools
151,Java
151,Python
151,AWS
151,Kubernetes
151,Docker
152,SQL
153,AWS
153,Python
153,Statistics
153,Excel
154,Excel
154,Workday
154,Conflict Resolution
154,HR Compliance
154,Communication
155,Excel
155,Salesforce
155,Negotiation
155,Communication
155,CRM Tools
156,CI/CD
156,AWS
156,Kubernetes
156,Terraform
156,Docker
157,AWS
157,Kubernetes
157,Cloud
157,Docker
158,MLOps
158,Python
158,Machine Learning
158,AWS
158,Statistics
158,Docker
159,Java
159,Python
159,System Design
159,AWS
159,Kubernetes
159,Docker
160,Excel
160,Data Visualization
160,Tableau
160,SQL
160,Statistics
161,Python
161,Research Methods
161,Statistics
162,Tableau
162,SQL
163,MLOps
163,CI/CD
163,AWS
163,Kubernetes
163,Terraform
163,Excel
164,Python
164,Research Methods
165,Java
165,Python
165,System Design
165,AWS
165,Kubernetes
165,Docker
167,AWS
167,Python
167,Research Methods
168,Excel
168,Data Visualization
168,Tableau
168,SQL
169,MLOps
169,Python
169,Machine Learning
169,Statistics
169,Communication
170,AWS
170,Research Methods
170,Statistics
171,Excel
171,HR Compliance
171,Communication
172,MLOps
172,Kubernetes
172,Terraform
172,Docker
173,Excel
174,AWS
174,Statistics
175,AWS
175,Python
175,Research Methods
175,Statistics
176,Excel
176,Data Visualization
176,Tableau
176,SQL
176,Statistics
177,MLOps
177,AWS
177,Cloud
177,Terraform
177,Docker
177,Excel
178,AWS
178,Python
178,Research Methods
178,Statistics
179,CI/CD
179,AWS
179,Terraform
179,Communication
180,Java
180,Python
180,System Design
180,AWS
180,Kubernetes
180,Docker
181,Excel
181,Salesforce
181,Negotiation
181,CRM Tools
181,Communication
182,Excel
182,Negotiation
182,CRM Tools
183,MLOps
183,Python
183,Statistics
183,Docker
184,Java
184,System Design
184,AWS
184,Communication
185,Excel
185,Data Visualization
185,Tableau
185,SQL
185,Statistics
186,Salesforce
186,Negotiation
186,Communication
186,CRM Tools
187,Excel
187,Negotiation
187,Communication
187,CRM Tools
188,MLOps
188,CI/CD
188,Kubernetes
188,Cloud
188,Docker
189,MLOps
189,Python
189,Machine Learning
189,AWS
189,PyTorch
189,Statistics
189,Docker
190,Java
190,System Design
190,AWS
190,Kubernetes
190,Docker
191,AWS
191,Python
191,Research Methods
191,Excel
192,MLOps
192,CI/CD
192,AWS
192,Docker
193,MLOps
193,Python
193,Machine Learning
193,PyTorch
193,Docker
194,Java
194,Python
194,AWS
194,Kubernetes
194,Docker
194,Communication
195,Excel
195,Salesforce
195,Negotiation
195,CRM Tools
196,Excel
196,Workday
196,Conflict Resolution
197,Excel
197,Data Visualization
197,Tableau
197,SQL
198,Java
198,Python
198,System Design
198,AWS
198,Kubernetes
199,Excel
199,Salesforce
199,Communication
200,MLOps
200,Python
200,Machine Learning
200,PyTorch
200,Docker
200,Excel
201,MLOps
201,CI/CD
201,AWS
201,Terraform
201,Docker
201,Communication
202,Salesforce
202,Communication
202,CRM Tools
203,Excel
203,Workday
203,Conflict Resolution
203,HR Compliance
204,Salesforce
204,Negotiation
204,CRM Tools
204,Communication
205,Excel
205,Salesforce
205,Communication
205,CRM Tools
206,Excel
206,Workday
206,Conflict Resolution
206,HR Compliance
206,Communication
207,Python
207,Research Methods
207,Statistics
208,Excel
208,Salesforce
208,Negotiation
208,Communication
208,CRM Tools
209,Excel
209,Workday
209,Conflict Resolution
209,HR Compliance
209,Communication
210,Python
210,PyTorch
211,Excel
211,Salesforce
211,Negotiation
211,Communication
212,AWS
212,Python
212,Research Methods
212,Communication
213,CI/CD
213,AWS
213,Cloud
213,Terraform
214,MLOps
214,CI/CD
214,AWS
214,Cloud
214,Terraform
214,Docker
215,Excel
215,Conflict Resolution
216,Python
216,AWS
216,Kubernetes
217,Java
217,Python
217,System Design
217,AWS
217,Kubernetes
217,Docker
217,Excel
218,Java
218,System Design
218,Kubernetes
218,Docker
219,Excel
219,Conflict Resolution
219,HR Compliance
220,MLOps
220,CI/CD
220,AWS
220,Kubernetes
220,Cloud
220,Terraform
221,MLOps
221,CI/CD
221,AWS
221,Kubernetes
221,Cloud
221,Docker
221,Communication
222,Java
222,System Design
222,Kubernetes
222,Docker
223,System Design
223,AWS
223,Docker
224,Java
224,Python
224,System Design
224,AWS
224,Kubernetes
224,Docker
225,MLOps
225,CI/CD
225,AWS
225,Kubernetes
225,Cloud
225,Terraform
225,Docker
225,Communication
226,CI/CD
226,Kubernetes
226,Cloud
226,Docker
227,Java
227,Python
227,AWS
227,Kubernetes
227,Docker
228,Python
228,Machine Learning
228,PyTorch
228,Statistics
228,Docker
