EmployeeID,CurrentRole,TargetRole,MatchedSkills,MissingSkills,ReadinessToday,ReadinessAfterTraining
2,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
3,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
4,Software Engineer,ML Engineer,[],"['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",0.0,85.0
5,Software Engineer,ML Engineer,['Python'],"['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",14.3,87.2
6,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
9,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
10,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
12,ML Engineer,MLOps Engineer,"['AWS', 'MLOps']","['CI/CD', 'Cloud', 'Docker', 'Kubernetes', 'Terraform']",28.6,89.3
14,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
16,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
17,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
18,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
19,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
22,Software Engineer,ML Engineer,"['AWS', 'Docker']","['MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",28.6,89.3
23,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
26,ML Engineer,MLOps Engineer,"['Docker', 'MLOps']","['AWS', 'CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",28.6,89.3
27,Research Scientist,ML Engineer,[],"['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",0.0,85.0
29,Research Scientist,ML Engineer,"['AWS', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python']",28.6,89.3
31,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
34,ML Engineer,MLOps Engineer,"['AWS', 'Docker']","['CI/CD', 'Cloud', 'Kubernetes', 'MLOps', 'Terraform']",28.6,89.3
37,Software Engineer,ML Engineer,"['Docker', 'Python']","['AWS', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
38,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
39,Data Analyst,Research Scientist,[],"['AWS', 'Python', 'Research Methods', 'Statistics']",0.0,85.0
44,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
45,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
47,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
49,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
50,ML Engineer,MLOps Engineer,"['AWS', 'Docker']","['CI/CD', 'Cloud', 'Kubernetes', 'MLOps', 'Terraform']",28.6,89.3
52,ML Engineer,MLOps Engineer,['AWS'],"['CI/CD', 'Cloud', 'Docker', 'Kubernetes', 'MLOps', 'Terraform']",14.3,87.2
53,ML Engineer,MLOps Engineer,['Docker'],"['AWS', 'CI/CD', 'Cloud', 'Kubernetes', 'MLOps', 'Terraform']",14.3,87.2
54,ML Engineer,MLOps Engineer,"['AWS', 'MLOps']","['CI/CD', 'Cloud', 'Docker', 'Kubernetes', 'Terraform']",28.6,89.3
55,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
56,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
57,ML Engineer,MLOps Engineer,"['Docker', 'MLOps']","['AWS', 'CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",28.6,89.3
58,Research Scientist,ML Engineer,"['Python', 'Statistics']","['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch']",28.6,89.3
59,Software Engineer,ML Engineer,['Docker'],"['AWS', 'MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",14.3,87.2
61,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
62,ML Engineer,MLOps Engineer,"['AWS', 'Docker']","['CI/CD', 'Cloud', 'Kubernetes', 'MLOps', 'Terraform']",28.6,89.3
64,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
65,ML Engineer,MLOps Engineer,"['Docker', 'MLOps']","['AWS', 'CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",28.6,89.3
67,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
70,Research Scientist,ML Engineer,['AWS'],"['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",14.3,87.2
71,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
73,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
74,Data Analyst,Research Scientist,[],"['AWS', 'Python', 'Research Methods', 'Statistics']",0.0,85.0
75,Research Scientist,ML Engineer,"['AWS', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python']",28.6,89.3
77,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
79,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
80,Research Scientist,ML Engineer,['AWS'],"['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",14.3,87.2
81,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
85,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
86,Research Scientist,ML Engineer,[],"['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",0.0,85.0
88,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
90,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
93,Research Scientist,ML Engineer,[],"['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",0.0,85.0
94,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
95,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
96,Data Analyst,Research Scientist,[],"['AWS', 'Python', 'Research Methods', 'Statistics']",0.0,85.0
98,ML Engineer,MLOps Engineer,"['AWS', 'MLOps']","['CI/CD', 'Cloud', 'Docker', 'Kubernetes', 'Terraform']",28.6,89.3
99,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
100,ML Engineer,MLOps Engineer,"['AWS', 'MLOps']","['CI/CD', 'Cloud', 'Docker', 'Kubernetes', 'Terraform']",28.6,89.3
101,Research Scientist,ML Engineer,"['Python', 'Statistics']","['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch']",28.6,89.3
102,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
104,Software Engineer,ML Engineer,['AWS'],"['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",14.3,87.2
107,Software Engineer,ML Engineer,"['AWS', 'Docker']","['MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",28.6,89.3
111,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
112,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
113,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
114,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
115,Data Analyst,Research Scientist,[],"['AWS', 'Python', 'Research Methods', 'Statistics']",0.0,85.0
118,ML Engineer,MLOps Engineer,"['AWS', 'Docker']","['CI/CD', 'Cloud', 'Kubernetes', 'MLOps', 'Terraform']",28.6,89.3
119,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
125,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
126,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
127,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
128,Software Engineer,ML Engineer,"['Docker', 'Python']","['AWS', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
132,ML Engineer,MLOps Engineer,['AWS'],"['CI/CD', 'Cloud', 'Docker', 'Kubernetes', 'MLOps', 'Terraform']",14.3,87.2
133,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
135,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
136,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
137,ML Engineer,MLOps Engineer,"['Docker', 'MLOps']","['AWS', 'CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",28.6,89.3
138,Data Analyst,Research Scientist,[],"['AWS', 'Python', 'Research Methods', 'Statistics']",0.0,85.0
139,Software Engineer,ML Engineer,"['AWS', 'Python']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
140,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
142,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
144,Research Scientist,ML Engineer,['Python'],"['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",14.3,87.2
146,Research Scientist,ML Engineer,"['AWS', 'Python']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
151,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
152,Data Analyst,Research Scientist,[],"['AWS', 'Python', 'Research Methods', 'Statistics']",0.0,85.0
153,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
158,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
159,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
160,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
161,Research Scientist,ML Engineer,"['Python', 'Statistics']","['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch']",28.6,89.3
162,Data Analyst,Research Scientist,[],"['AWS', 'Python', 'Research Methods', 'Statistics']",0.0,85.0
164,Research Scientist,ML Engineer,['Python'],"['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",14.3,87.2
165,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
167,Research Scientist,ML Engineer,"['AWS', 'Python']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
168,Data Analyst,Research Scientist,[],"['AWS', 'Python', 'Research Methods', 'Statistics']",0.0,85.0
169,ML Engineer,MLOps Engineer,['MLOps'],"['AWS', 'CI/CD', 'Cloud', 'Docker', 'Kubernetes', 'Terraform']",14.3,87.2
170,Research Scientist,ML Engineer,"['AWS', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python']",28.6,89.3
