Employee_ID,Dept,Attrition_Prob,Risk,Engagement,Role,Skill_Gap,Gap_Severity,Recommendation
1,IT,0.96,HIGH,81,Sales Executive,"Communication, Excel, Negotiation",4,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
2,IT,0.815,LOW,61,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
3,IT,0.965,HIGH,60,Software Engineer,"Java, System Design",3,"Learn System Design -- ""System Design for Scalable Applications"""
4,Research & Development,0.94,MEDIUM,59,Software Engineer,"AWS, Docker, Kubernetes, Python",6,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
5,IT,0.945,HIGH,67,Software Engineer,"AWS, Docker, Kubernetes",4,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
6,IT,0.935,MEDIUM,52,Software Engineer,(none),0,No critical skill gaps -- keep up ongoing development
7,Research & Development,0.92,MEDIUM,76,Sales Executive,"CRM Tools, Salesforce",3,"Learn Salesforce -- ""Salesforce Administration Essentials"""
8,Human Resources,0.935,MEDIUM,81,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
9,Sales,0.945,HIGH,79,ML Engineer,(none),0,No critical skill gaps -- keep up ongoing development
10,IT,0.095,LOW,83,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
11,Research & Development,0.945,HIGH,89,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
12,Human Resources,0.975,HIGH,65,ML Engineer,"Docker, PyTorch",3,"Learn Docker -- ""Containerization Fundamentals with Docker"""
13,Human Resources,0.91,MEDIUM,93,Sales Executive,Salesforce,2,"Learn Salesforce -- ""Salesforce Administration Essentials"""
14,IT,0.665,LOW,52,Software Engineer,Kubernetes,2,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
15,Research & Development,0.89,MEDIUM,66,MLOps Engineer,"Docker, Terraform",3,"Learn Docker -- ""Containerization Fundamentals with Docker"""
16,Research & Development,0.895,MEDIUM,79,Data Analyst,"Data Visualization, SQL, Tableau",3,"Learn Data Visualization -- ""Storytelling with Data Visualization"""
17,Sales,0.895,MEDIUM,85,ML Engineer,Python,1,"Learn Python -- ""Python for Data & ML Practitioners"""
18,Research & Development,0.86,LOW,69,Data Analyst,Excel,2,"Learn Excel -- ""Advanced Excel for Business Analytics"""
19,IT,0.87,LOW,27,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
20,Sales,0.855,LOW,53,Sales Executive,Communication,1,"Learn Communication -- ""Effective Workplace Communication"""
21,Research & Development,0.77,LOW,68,Sales Executive,"CRM Tools, Negotiation",3,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
22,IT,0.95,HIGH,79,Software Engineer,Python,2,"Learn Python -- ""Python for Data & ML Practitioners"""
23,Research & Development,0.77,LOW,63,Data Analyst,"SQL, Tableau",2,"Learn SQL -- ""Practical SQL for Analysts"""
24,IT,0.945,HIGH,43,MLOps Engineer,"CI/CD, Cloud, Kubernetes, Terraform",5,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
25,Sales,0.93,MEDIUM,63,MLOps Engineer,"Cloud, Terraform",2,"Learn Cloud -- ""Cloud Computing Foundations"""
26,IT,0.23,LOW,87,ML Engineer,AWS,1,"Learn AWS -- ""Cloud Infrastructure on AWS"""
27,Research & Development,0.195,LOW,64,Research Scientist,"AWS, Python, Research Methods, Statistics",7,"Learn Python -- ""Python for Data & ML Practitioners"""
28,Human Resources,0.84,LOW,88,Sales Executive,Salesforce,2,"Learn Salesforce -- ""Salesforce Administration Essentials"""
29,Research & Development,0.29,LOW,52,Research Scientist,Python,2,"Learn Python -- ""Python for Data & ML Practitioners"""
30,Research & Development,0.265,LOW,78,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
31,IT,0.28,LOW,45,Data Analyst,"Data Visualization, Excel",3,"Learn Excel -- ""Advanced Excel for Business Analytics"""
32,Human Resources,0.345,LOW,63,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
33,Research & Development,0.885,MEDIUM,76,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
34,Research & Development,0.885,MEDIUM,82,ML Engineer,"MLOps, PyTorch, Statistics",4,"Learn Statistics -- ""Applied Statistics for Business"""
35,Sales,0.33,LOW,60,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
36,IT,0.255,LOW,95,Sales Executive,"Communication, Excel, Negotiation",4,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
37,Research & Development,0.925,MEDIUM,88,Software Engineer,"AWS, System Design",3,"Learn System Design -- ""System Design for Scalable Applications"""
38,Sales,0.105,LOW,66,Software Engineer,Java,1,"Learn Java -- ""Java for Backend Engineers"""
39,IT,0.865,LOW,54,Data Analyst,"SQL, Statistics",3,"Learn Statistics -- ""Applied Statistics for Business"""
40,IT,0.515,LOW,65,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
41,IT,0.905,MEDIUM,73,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
42,IT,0.92,MEDIUM,67,HR Executive,HR Compliance,1,"Learn HR Compliance -- ""HR Compliance Essentials"""
43,IT,0.93,MEDIUM,79,Sales Executive,"Negotiation, Salesforce",4,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
44,Sales,0.275,LOW,53,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
45,Sales,0.965,HIGH,70,Research Scientist,Research Methods,2,"Learn Research Methods -- ""Research Methods & Experimental Design"""
46,IT,0.925,MEDIUM,71,MLOps Engineer,"AWS, CI/CD, Cloud, Kubernetes, Terraform",6,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
47,IT,0.965,HIGH,86,Data Analyst,SQL,1,"Learn SQL -- ""Practical SQL for Analysts"""
48,Research & Development,0.16,LOW,53,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
49,IT,0.835,LOW,100,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
50,Sales,0.93,MEDIUM,68,ML Engineer,"MLOps, Python, Statistics",4,"Learn Statistics -- ""Applied Statistics for Business"""
51,Research & Development,0.91,MEDIUM,66,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
52,Sales,0.9,MEDIUM,75,ML Engineer,"Docker, MLOps, PyTorch",4,"Learn Docker -- ""Containerization Fundamentals with Docker"""
53,IT,0.96,HIGH,63,ML Engineer,"AWS, MLOps, Machine Learning, PyTorch",4,"Learn AWS -- ""Cloud Infrastructure on AWS"""
54,IT,0.965,HIGH,67,ML Engineer,Docker,2,"Learn Docker -- ""Containerization Fundamentals with Docker"""
55,Sales,0.195,LOW,72,Software Engineer,System Design,2,"Learn System Design -- ""System Design for Scalable Applications"""
56,IT,0.84,LOW,78,ML Engineer,"PyTorch, Python, Statistics",4,"Learn Statistics -- ""Applied Statistics for Business"""
57,Research & Development,0.88,LOW,61,ML Engineer,AWS,1,"Learn AWS -- ""Cloud Infrastructure on AWS"""
58,Research & Development,0.915,MEDIUM,70,Research Scientist,AWS,1,"Learn AWS -- ""Cloud Infrastructure on AWS"""
59,IT,0.9,MEDIUM,71,Software Engineer,"AWS, Java, Kubernetes, Python",6,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
60,IT,0.91,MEDIUM,82,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
61,Sales,0.69,LOW,57,Data Analyst,"SQL, Tableau",2,"Learn SQL -- ""Practical SQL for Analysts"""
62,IT,0.97,HIGH,90,ML Engineer,"MLOps, Machine Learning, PyTorch",3,"Learn MLOps -- ""Deploying and Monitoring Machine Learning Systems"""
63,Human Resources,0.28,LOW,66,MLOps Engineer,Terraform,1,"Learn Terraform -- ""Infrastructure as Code with Terraform"""
64,Research & Development,0.94,MEDIUM,99,Data Analyst,SQL,1,"Learn SQL -- ""Practical SQL for Analysts"""
65,IT,0.73,LOW,29,ML Engineer,"AWS, Machine Learning, Python, Statistics",5,"Learn Statistics -- ""Applied Statistics for Business"""
66,Research & Development,0.91,MEDIUM,66,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
67,Sales,0.965,HIGH,82,ML Engineer,PyTorch,1,"Learn PyTorch -- ""Deep Learning with PyTorch"""
68,Sales,0.76,LOW,67,MLOps Engineer,"AWS, CI/CD, Docker",4,"Learn Docker -- ""Containerization Fundamentals with Docker"""
69,IT,0.72,LOW,52,Sales Executive,"CRM Tools, Excel",2,"Learn CRM Tools -- ""CRM Best Practices"""
70,Sales,0.655,LOW,60,Research Scientist,"Python, Research Methods, Statistics",6,"Learn Python -- ""Python for Data & ML Practitioners"""
71,IT,0.79,LOW,100,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
72,IT,0.94,MEDIUM,96,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
73,Sales,0.175,LOW,47,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
74,Research & Development,0.155,LOW,65,Data Analyst,"SQL, Statistics",3,"Learn Statistics -- ""Applied Statistics for Business"""
75,Sales,0.97,HIGH,82,Research Scientist,Python,2,"Learn Python -- ""Python for Data & ML Practitioners"""
76,Sales,0.105,LOW,97,MLOps Engineer,"Cloud, Kubernetes",3,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
77,Sales,0.93,MEDIUM,76,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
78,Sales,0.955,HIGH,62,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
79,IT,0.195,LOW,65,Software Engineer,(none),0,No critical skill gaps -- keep up ongoing development
80,Research & Development,0.94,MEDIUM,84,Research Scientist,"Python, Research Methods, Statistics",6,"Learn Python -- ""Python for Data & ML Practitioners"""
81,Sales,0.955,HIGH,96,Data Analyst,"Data Visualization, Excel",3,"Learn Excel -- ""Advanced Excel for Business Analytics"""
82,IT,0.765,LOW,54,HR Executive,"Communication, HR Compliance",2,"Learn Communication -- ""Effective Workplace Communication"""
83,Research & Development,0.815,LOW,62,MLOps Engineer,"CI/CD, Docker, MLOps",5,"Learn Docker -- ""Containerization Fundamentals with Docker"""
84,Sales,0.8,LOW,92,Sales Executive,Communication,1,"Learn Communication -- ""Effective Workplace Communication"""
85,Human Resources,0.485,LOW,63,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
86,Sales,0.63,LOW,55,Research Scientist,"AWS, Python, Research Methods, Statistics",7,"Learn Python -- ""Python for Data & ML Practitioners"""
87,Research & Development,0.97,HIGH,63,HR Executive,Communication,1,"Learn Communication -- ""Effective Workplace Communication"""
88,Research & Development,0.785,LOW,69,Data Analyst,"Data Visualization, Excel, SQL",4,"Learn Excel -- ""Advanced Excel for Business Analytics"""
89,Sales,0.175,LOW,86,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
90,IT,0.8,LOW,76,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
91,Sales,0.795,LOW,86,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
92,Human Resources,0.95,HIGH,44,HR Executive,"Communication, Workday",3,"Learn Workday -- ""Workday HCM Fundamentals"""
93,Sales,0.27,LOW,68,Research Scientist,"AWS, Python, Research Methods, Statistics",7,"Learn Python -- ""Python for Data & ML Practitioners"""
94,Research & Development,0.915,MEDIUM,78,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
95,Research & Development,0.315,LOW,96,Data Analyst,"Excel, SQL, Tableau",4,"Learn Excel -- ""Advanced Excel for Business Analytics"""
96,Sales,0.885,MEDIUM,54,Data Analyst,"Excel, Statistics, Tableau",5,"Learn Excel -- ""Advanced Excel for Business Analytics"""
97,IT,0.315,LOW,92,Sales Executive,CRM Tools,1,"Learn CRM Tools -- ""CRM Best Practices"""
