EmployeeID,EngagementScore,PerformanceRating,ManagerRating,TrainingHoursLastYear
1,81,3.0,3,28
2,61,2.0,1,8
3,60,4.0,5,38
4,59,1.0,3,39
5,67,2.0,3,2
6,52,4.0,2,21
7,76,4.0,5,21
8,81,3.0,3,27
9,79,1.0,5,52
10,83,4.0,1,16
11,89,2.0,1,29
12,65,3.0,5,14
13,93,2.0,5,3
14,52,1.0,5,29
15,66,2.0,3,35
16,79,3.0,1,9
17,85,4.0,2,4
18,69,3.0,2,50
19,27,2.0,5,31
20,53,3.0,5,23
21,68,3.0,3,4
22,79,1.0,1,23
23,63,2.0,2,8
24,43,4.0,4,48
25,63,4.0,5,12
26,87,4.0,4,58
27,64,4.0,3,13
28,88,4.0,2,35
29,52,2.0,1,45
30,78,1.0,2,5
31,45,1.0,3,46
32,63,2.0,1,1
33,76,1.0,4,35
34,82,4.0,5,4
35,60,2.0,5,17
36,95,2.0,5,2
37,88,3.0,5,57
38,66,3.0,5,38
39,54,2.0,3,29
40,65,4.0,1,20
41,73,4.0,3,54
42,67,4.0,3,23
43,79,1.0,3,12
44,53,2.0,2,22
45,70,3.0,4,17
46,71,1.0,1,30
47,86,3.0,4,42
48,53,4.0,2,22
49,100,1.0,4,39
50,68,3.0,1,33
51,66,4.0,1,6
52,75,3.0,3,24
53,63,2.0,3,50
54,67,2.0,2,46
55,72,1.0,5,40
56,78,2.0,4,10
57,61,1.0,2,6
58,70,1.0,2,11
59,71,3.0,1,7
60,82,1.0,2,39
61,57,2.0,3,27
62,90,1.0,2,33
63,66,3.0,5,43
64,99,3.0,4,29
65,29,1.0,2,47
66,66,4.0,5,9
67,82,1.0,4,20
68,67,3.0,4,42
69,52,1.0,4,8
70,60,2.0,4,4
71,100,1.0,3,34
72,96,1.0,2,59
73,47,3.0,4,27
74,65,2.0,1,20
75,82,1.0,2,35
76,97,1.0,2,13
77,76,2.0,1,5
78,62,2.0,2,21
79,65,3.0,1,28
80,84,3.0,3,40
81,96,2.0,3,7
82,54,2.0,3,30
83,62,4.0,2,43
84,92,3.0,5,3
85,63,2.0,2,5
86,55,4.0,4,57
87,63,3.0,2,47
88,69,3.0,2,37
89,86,4.0,1,45
90,76,1.0,1,7
91,86,3.0,1,51
92,44,3.0,3,21
93,68,3.0,4,50
94,78,2.0,4,49
95,96,4.0,5,48
96,54,4.0,3,44
97,92,3.0,4,25
98,77,3.0,1,39
99,65,3.0,3,36
100,64,4.0,3,25
101,67,3.0,2,13
102,69,1.0,3,54
103,63,1.0,5,42
104,93,1.0,5,34
105,64,3.0,4,2
106,64,3.0,5,33
107,98,4.0,2,15
108,49,3.0,3,32
109,100,4.0,2,46
110,52,4.0,5,42
111,58,4.0,5,59
112,93,3.0,2,7
113,69,2.0,4,1
114,64,2.0,5,33
115,43,1.0,5,17
116,60,2.0,4,34
117,64,3.0,1,55
118,70,3.0,3,35
119,64,3.0,4,53
120,92,2.0,5,57
121,85,4.0,1,42
122,80,4.0,4,47
123,86,3.0,5,2
124,64,4.0,2,45
125,63,4.0,4,11
126,73,3.0,1,0
127,61,4.0,1,4
128,60,2.0,2,31
129,54,1.0,5,52
130,74,3.0,5,51
131,40,2.0,4,5
132,49,4.0,1,31
133,73,3.0,3,50
134,75,4.0,2,0
135,75,3.0,1,55
136,68,4.0,2,43
137,58,4.0,5,30
138,65,2.0,3,1
139,65,3.0,5,30
140,89,4.0,5,28
141,98,1.0,2,39
142,63,3.0,5,0
143,54,2.0,2,27
144,77,1.0,3,37
145,50,4.0,4,15
146,65,4.0,1,39
147,61,2.0,1,27
148,48,1.0,5,57
149,68,2.0,2,24
150,67,3.0,5,58
151,81,3.0,2,59
152,70,2.0,1,22
153,100,4.0,1,56
154,64,3.0,3,10
155,72,1.0,2,8
156,69,1.0,1,48
157,54,3.0,5,21
158,84,2.0,1,39
159,57,3.0,2,23
160,51,3.0,2,27
161,48,2.0,5,23
162,59,1.0,4,48
163,57,2.0,4,52
164,70,1.0,4,45
165,100,1.0,2,6
166,80,1.0,2,28
167,45,3.0,5,29
168,63,4.0,1,15
169,50,2.0,2,4
170,66,1.0,5,20
171,69,4.0,3,51
172,66,1.0,2,2
173,73,4.0,3,9
174,71,2.0,5,57
175,91,3.0,4,3
176,61,3.0,3,53
177,68,2.0,4,53
178,61,1.0,4,23
179,72,2.0,5,34
180,81,4.0,5,59
181,81,4.0,3,50
182,84,4.0,5,27
183,66,4.0,1,59
184,79,2.0,3,40
185,67,2.0,2,16
186,66,3.0,4,25
187,91,1.0,4,24
188,51,1.0,3,43
189,86,2.0,4,21
190,52,3.0,2,33
191,91,1.0,5,50
192,77,3.0,1,44
193,46,4.0,5,27
194,63,1.0,5,35
195,53,1.0,3,25
196,81,4.0,1,25
197,51,3.0,1,29
198,65,3.0,1,30
199,80,1.0,4,11
200,54,3.0,1,0
201,77,4.0,5,58
202,59,4.0,3,15
203,58,2.0,4,22
204,46,2.0,1,24
205,67,3.0,2,18
206,63,1.0,2,31
207,72,3.0,3,3
208,77,2.0,2,57
209,71,2.0,5,15
210,60,3.0,1,22
211,47,4.0,1,32
212,89,4.0,5,24
213,66,1.0,1,53
214,95,1.0,3,30
215,63,4.0,4,58
216,78,3.0,5,4
217,86,4.0,4,55
218,87,2.0,2,12
219,100,1.0,3,47
220,78,1.0,4,6
221,74,1.0,2,51
222,96,1.0,5,18
223,99,4.0,1,38
224,100,2.0,3,46
225,92,3.0,4,49
226,59,2.0,5,34
227,66,2.0,4,40
228,84,4.0,4,59
229,68,1.0,1,50
230,84,4.0,4,32
231,70,2.0,5,21
232,78,3.0,4,2
233,56,2.0,5,53
234,85,3.0,4,53
235,83,4.0,3,12
236,59,1.0,1,3
237,82,2.0,4,21
238,44,4.0,2,51
239,61,3.0,1,53
240,50,1.0,2,45
241,67,2.0,4,32
242,50,3.0,1,43
243,85,3.0,1,46
244,76,1.0,1,54
245,78,4.0,1,19
246,84,3.0,1,22
247,72,1.0,5,47
248,72,1.0,4,59
249,64,1.0,1,37
250,72,4.0,2,27
251,75,1.0,5,55
252,64,2.0,5,27
253,58,4.0,4,46
254,72,1.0,2,23
255,63,1.0,3,43
256,58,3.0,3,10
257,100,1.0,5,1
258,82,2.0,2,2
259,83,2.0,2,58
260,94,4.0,3,20
261,84,2.0,3,8
262,79,2.0,3,12
263,72,2.0,2,17
264,73,3.0,5,54
265,72,4.0,3,1
266,73,1.0,1,32
267,75,3.0,5,14
268,79,1.0,4,32
269,49,3.0,3,33
270,68,2.0,1,2
271,62,3.0,5,41
272,76,3.0,5,23
273,79,2.0,1,1
274,75,2.0,3,28
275,73,3.0,5,21
276,60,4.0,1,5
277,56,4.0,4,26
278,53,4.0,3,17
279,55,4.0,3,4
280,61,4.0,4,8
281,54,4.0,5,25
282,81,2.0,3,21
283,71,3.0,5,12
284,89,1.0,2,47
285,59,4.0,1,28
286,53,1.0,5,15
287,63,1.0,2,13
288,46,3.0,5,53
289,68,3.0,2,36
290,71,4.0,5,32
291,69,1.0,2,44
292,58,3.0,5,0
293,51,3.0,3,54
294,83,3.0,5,45
295,85,3.0,1,9
296,75,3.0,2,50
297,94,1.0,5,42
298,65,2.0,1,6
299,55,1.0,2,41
300,53,2.0,3,11
301,50,3.0,1,18
302,62,3.0,5,49
303,62,3.0,4,38
304,71,1.0,3,26
305,95,2.0,2,5
306,54,1.0,2,52
307,87,4.0,4,44
308,78,1.0,4,39
309,61,2.0,2,35
310,79,2.0,3,14
311,77,2.0,3,6
312,48,3.0,2,32
313,54,3.0,5,51
314,66,1.0,3,28
315,87,3.0,1,35
316,88,4.0,2,0
317,46,1.0,1,56
318,93,4.0,2,10
319,85,3.0,2,48
320,67,2.0,3,31
321,57,2.0,2,21
322,66,2.0,3,30
323,71,1.0,4,22
324,61,2.0,2,15
325,69,2.0,1,7
326,42,1.0,3,59
327,72,1.0,1,0
328,57,4.0,5,19
329,70,3.0,4,28
330,69,1.0,3,43
331,67,2.0,3,59
332,31,3.0,2,57
333,91,3.0,4,1
334,90,3.0,4,32
335,63,3.0,4,28
336,70,3.0,1,52
337,64,4.0,2,37
338,90,1.0,3,21
339,54,4.0,1,17
340,51,1.0,3,46
341,67,3.0,2,54
342,42,1.0,4,5
343,64,3.0,1,15
344,90,2.0,4,30
345,38,1.0,1,12
346,54,2.0,4,23
