EmployeeID,Age,Department,JobRole,MonthlyIncome,DistanceFromHome,YearsAtCompany,YearsSinceLastPromotion,NumCompaniesWorked,JobSatisfaction,WorkLifeBalance,OverTime,Attrition
1,43,IT,Sales Executive,6947.0,21,1,1,6,1.0,1.0,No,Yes
2,47,IT,Research Scientist,,25,6,1,6,2.0,1.0,No,Yes
3,33,IT,Software Engineer,7944.0,22,2,2,5,2.0,2.0,Yes,Yes
4,47,Research & Development,Software Engineer,8777.0,28,1,0,3,3.0,2.0,Yes,Yes
5,38,IT,Software Engineer,8876.0,24,1,1,0,1.0,3.0,Yes,Yes
6,31,IT,Software Engineer,9888.0,25,1,0,4,1.0,1.0,No,Yes
7,33,Research & Development,Sales Executive,2035.0,2,4,4,1,4.0,1.0,No,Yes
8,38,Human Resources,Sales Executive,,10,6,0,0,2.0,2.0,No,Yes
9,41,Sales,ML Engineer,,20,9,6,5,2.0,2.0,No,Yes
10,28,IT,Data Analyst,,23,10,8,3,4.0,4.0,No,No
11,40,Research & Development,HR Executive,6752.0,15,4,3,5,3.0,1.0,No,Yes
12,38,Human Resources,ML Engineer,7749.0,20,0,0,0,1.0,2.0,No,Yes
13,42,Human Resources,Sales Executive,7597.0,28,0,0,0,4.0,1.0,No,Yes
14,18,IT,Software Engineer,4357.0,9,2,1,0,4.0,2.0,No,Yes
15,32,Research & Development,MLOps Engineer,6955.0,10,1,1,0,,3.0,No,Yes
16,29,Research & Development,Data Analyst,7847.0,19,1,1,4,4.0,2.0,No,Yes
17,25,Sales,ML Engineer,6084.0,4,4,2,4,1.0,3.0,No,Yes
18,50,Research & Development,Data Analyst,12278.0,2,4,4,6,1.0,4.0,Yes,Yes
19,28,IT,Data Analyst,5927.0,28,2,0,0,2.0,4.0,No,Yes
20,29,Sales,Sales Executive,9705.0,3,14,12,5,2.0,1.0,No,Yes
21,49,Research & Development,Sales Executive,7348.0,5,5,5,5,4.0,4.0,Yes,Yes
22,29,IT,Software Engineer,7604.0,20,14,4,0,2.0,2.0,No,Yes
23,32,Research & Development,Data Analyst,1500.0,8,2,1,3,4.0,2.0,No,No
24,26,IT,MLOps Engineer,3046.0,27,1,1,1,2.0,1.0,No,Yes
25,34,Sales,MLOps Engineer,8150.0,15,0,0,5,1.0,1.0,Yes,Yes
26,39,IT,ML Engineer,12006.0,7,0,0,7,3.0,4.0,Yes,No
27,47,Research & Development,Research Scientist,9746.0,24,0,0,7,2.0,4.0,Yes,No
28,36,Human Resources,Sales Executive,1500.0,15,5,2,6,4.0,2.0,No,Yes
29,52,Research & Development,Research Scientist,6285.0,11,1,1,1,1.0,3.0,No,No
30,40,Research & Development,Sales Executive,5462.0,19,14,9,6,4.0,2.0,No,No
31,37,IT,Data Analyst,9057.0,3,5,5,4,1.0,3.0,No,No
32,30,Human Resources,Sales Executive,4151.0,8,7,4,4,,1.0,No,No
33,37,Research & Development,HR Executive,4431.0,15,11,1,6,3.0,3.0,No,Yes
34,44,Research & Development,ML Engineer,7446.0,27,0,0,6,3.0,3.0,No,Yes
35,27,Sales,HR Executive,3622.0,11,2,1,6,1.0,3.0,No,No
36,41,IT,Sales Executive,12114.0,1,5,3,5,4.0,3.0,Yes,No
37,29,Research & Development,Software Engineer,1555.0,12,0,0,7,3.0,4.0,No,Yes
